rank,personName,age,finalWorth,category,country,gender_F,gender_M
1,Jeff Bezos,54,112000,8,20,0,1
2,Bill Gates,62,90000,8,20,0,1
3,Warren Buffett,87,84000,10,20,0,1
4,Bernard Arnault,69,72000,17,36,0,1
5,Mark Zuckerberg,33,71000,8,20,0,1
6,Amancio Ortega,81,70000,17,38,0,1
7,Carlos Slim Helu,78,67000,18,37,0,1
8,Charles Koch,82,60000,13,20,0,1
8,David Koch,77,60000,13,20,0,1
10,Larry Ellison,73,58000,8,20,0,1
11,Michael Bloomberg,76,50000,5,20,0,1
12,Larry Page,44,48000,8,20,0,1
13,Sergey Brin,44,47000,8,20,0,1
14,Jim Walton,69,46000,17,20,0,1
15,S. Robson Walton,73,46000,17,20,0,1
16,Alice Walton,68,46000,17,20,1,0
17,Ma Huateng,46,45000,8,26,0,1
18,Francoise Bettencourt Meyers,64,42000,17,36,1,0
19,Mukesh Ambani,60,40000,2,44,0,1
20,Jack Ma,53,39000,8,26,0,1
21,Sheldon Adelson,84,38000,4,20,0,1
22,Steve Ballmer,61,38000,8,20,0,1
23,Li Ka-shing,89,34000,13,1,0,1
24,Hui Ka Yan,59,30000,14,26,0,1
24,Lee Shau Kee,90,30000,14,1,0,1
26,Wang Jianlin,63,30000,14,26,0,1
28,Phil Knight,80,29000,17,20,0,1
29,Jorge Paulo Lemann,78,27000,16,17,0,1
30,Francois Pinault,81,27000,17,36,0,1
31,Georg Schaeffler,53,25000,7,62,0,1
32,Susanne Klatten,55,25000,7,62,1,0
32,David Thomson,60,25000,5,49,0,1
34,Jacqueline Mars,78,23000,16,20,1,0
34,John Mars,82,23000,16,20,0,1
36,Joseph Safra,79,23000,10,17,0,1
37,Giovanni Ferrero,53,23000,16,48,0,1
37,Dietrich Mateschitz,73,23000,16,0,0,1
39,Michael Dell,53,22000,8,20,0,1
39,Masayoshi Son,60,22000,18,27,0,1
41,Serge Dassault,92,22000,13,36,0,1
42,Stefan Quandt,51,22000,7,62,0,1
43,Yang Huiyan,36,21000,14,26,1,0
44,Paul Allen,65,21000,8,20,0,1
45,Leonardo Del Vecchio,82,21000,17,48,0,1
46,Dieter Schwarz,78,20000,17,62,0,1
47,Thomas Peterffy,73,20000,10,20,0,1
48,"Theo Albrecht, Jr.",67,20000,17,62,0,1
48,Len Blavatnik,60,20000,13,20,0,1
50,He Xiangjian,75,20000,12,26,0,1
50,Lui Che Woo,88,20000,4,1,0,1
52,James Simons,79,20000,10,20,0,1
52,Henry Sy,93,20000,13,45,0,1
54,Elon Musk,46,19000,7,20,0,1
55,Tadashi Yanai,69,19000,17,27,0,1
57,Vladimir Lisin,61,19000,0,35,0,1
58,Laurene Powell Jobs,54,18000,15,20,1,0
58,Azim Premji,72,18000,8,44,0,1
60,Alexey Mordashov,52,18000,0,35,0,1
61,Lee Kun-Hee,76,18000,13,53,0,1
62,Lakshmi Mittal,67,18000,0,44,0,1
63,Wang Wei,48,18000,11,26,0,1
64,Leonid Mikhelson,62,18000,2,35,0,1
65,Charoen Sirivadhanabhakdi,73,17000,16,54,0,1
66,Pallonji Mistry,88,17000,3,2,0,1
67,Ray Dalio,68,17000,10,20,0,1
68,Takemitsu Takizaki,72,17000,12,27,0,1
69,William Ding,46,17000,8,26,0,1
69,R. Budi Hartono,77,17000,10,63,0,1
69,Gina Rinehart,64,17000,0,65,1,0
72,German Larrea Mota Velasco,64,17000,0,37,0,1
73,Carl Icahn,82,16000,10,20,0,1
73,Stefan Persson,70,16000,17,18,0,1
75,Michael Hartono,78,16000,12,63,0,1
75,Joseph Lau,66,16000,14,1,0,1
78,Vagit Alekperov,67,16000,2,35,0,1
78,James Ratcliffe,65,16000,12,3,0,1
80,Donald Bren,85,16000,14,20,0,1
80,Iris Fontbona,75,16000,0,4,1,0
