rank,personName,age,finalWorth,category,country,gender_F,gender_M
1,Elon Musk,50,219000,6,49,0,1
2,Jeff Bezos,58,171000,2,49,0,1
3,Bernard Arnault & family,73,158000,15,71,0,1
4,Bill Gates,66,129000,2,49,0,1
5,Warren Buffett,91,118000,0,49,0,1
6,Larry Page,49,111000,2,49,0,1
7,Sergey Brin,48,107000,2,49,0,1
8,Larry Ellison,77,106000,2,49,0,1
9,Steve Ballmer,66,91400,2,49,0,1
10,Mukesh Ambani,64,90700,4,56,0,1
11,Gautam Adani & family,59,90000,4,56,0,1
12,Michael Bloomberg,80,82000,1,49,0,1
13,Carlos Slim Helu & family,82,81200,17,32,0,1
14,Francoise Bettencourt Meyers & family,68,74800,15,71,1,0
15,Mark Zuckerberg,37,67300,2,49,0,1
16,Jim Walton,73,66200,15,49,0,1
17,Zhong Shanshan,67,65700,10,34,0,1
18,Alice Walton,72,65300,15,49,1,0
19,Rob Walton,77,65000,15,49,0,1
19,Changpeng Zhao,44,65000,0,52,0,1
21,Charles Koch,86,60000,4,49,0,1
21,Julia Koch & family,59,60000,4,49,1,0
23,Amancio Ortega,86,59600,15,53,0,1
24,Michael Dell,57,55100,2,49,0,1
25,Zhang Yiming,38,50000,1,34,0,1
26,David Thomson & family,64,49200,1,25,0,1
27,Phil Knight & family,84,47300,15,49,0,1
28,Dieter Schwarz,82,47100,15,66,0,1
29,Robin Zeng,53,44800,6,34,0,1
30,MacKenzie Scott,51,43600,2,49,1,0
31,Rodolphe Saadé & family,52,41400,5,71,0,1
32,François Pinault & family,85,40400,15,71,0,1
33,Klaus-Michael Kuehne,84,37300,5,24,0,1
34,Ma Huateng,50,37200,2,34,0,1
36,Giovanni Ferrero,57,36200,10,72,0,1
37,Li Ka-shing,93,34800,4,17,0,1
37,Stephen Schwarzman,75,34800,0,49,0,1
39,Lee Shau Kee,94,32600,12,17,0,1
40,Len Blavatnik,64,32500,4,35,0,1
41,Jacqueline Mars,82,31700,10,49,1,0
41,John Mars,86,31700,10,49,0,1
43,Alain Wertheimer,73,31200,15,49,0,1
43,Gerard Wertheimer,71,31200,15,49,0,1
45,German Larrea Mota Velasco & family,68,30800,14,32,0,1
46,Gina Rinehart,68,30200,14,54,1,0
47,Shiv Nadar,76,28700,2,56,0,1
48,Jim Simons,83,28600,0,49,0,1
49,He Xiangjian,79,28300,3,34,0,1
50,Miriam Adelson,76,27500,11,49,1,0
51,Dietrich Mateschitz,77,27400,10,69,0,1
52,Leonardo Del Vecchio & family,86,27300,15,22,0,1
53,Ken Griffin,53,27200,0,49,0,1
54,Tadashi Yanai & family,73,26100,15,9,0,1
55,William Lei Ding,50,25200,2,34,0,1
56,Susanne Klatten,59,24300,6,66,1,0
56,Cyrus Poonawalla,80,24300,7,56,0,1
56,Wang Wei,51,24300,8,34,0,1
59,Qin Yinglin,56,24100,10,34,0,1
60,Sam Bankman-Fried,30,24000,0,57,0,1
61,Takemitsu Takizaki,76,23900,3,9,0,1
62,Li Shufu,58,23700,6,34,0,1
63,Emmanuel Besnier,51,23500,10,71,0,1
64,R. Budi Hartono,81,23200,0,7,0,1
