personname,finalworth_2022,finalworth_2018,selfmade,age,category,country,gender
Elon Musk,219000,19000,True,50,Automotive,United States,M
Jeff Bezos,171000,112000,True,58,Technology,United States,M
Bill Gates,129000,90000,True,66,Technology,United States,M
Warren Buffett,118000,84000,True,91,Finance & Investments,United States,M
Larry Page,111000,48000,True,49,Technology,United States,M
Sergey Brin,107000,47000,True,48,Technology,United States,M
Larry Ellison,106000,58000,True,77,Technology,United States,M
Steve Ballmer,91400,38000,True,66,Technology,United States,M
Mukesh Ambani,90700,40000,False,64,Diversified,India,M
Michael Bloomberg,82000,50000,True,80,Media & Entertainment,United States,M
Mark Zuckerberg,67300,71000,True,37,Technology,United States,M
Jim Walton,66200,46000,False,73,Fashion & Retail,United States,M
Alice Walton,65300,46000,False,72,Fashion & Retail,United States,F
Charles Koch,60000,60000,False,86,Diversified,United States,M
Amancio Ortega,59600,70000,True,86,Fashion & Retail,Spain,M
Michael Dell,55100,22000,True,57,Technology,United States,M
Zhang Yiming,50000,4000,True,38,Media & Entertainment,China,M
Dieter Schwarz,47100,20000,False,82,Fashion & Retail,Germany,M
Robin Zeng,44800,1000,True,53,Automotive,China,M
Klaus-Michael Kuehne,37300,15000,False,84,Logistics,Switzerland,M
Ma Huateng,37200,45000,True,50,Technology,China,M
Giovanni Ferrero,36200,23000,False,57,Food & Beverage,Belgium,M
Li Ka-shing,34800,34000,True,93,Diversified,Hong Kong,M
Stephen Schwarzman,34800,12000,True,75,Finance & Investments,United States,M
Lee Shau Kee,32600,30000,True,94,Real Estate,Hong Kong,M
Len Blavatnik,32500,20000,True,64,Diversified,United Kingdom,M
Jacqueline Mars,31700,23000,False,82,Food & Beverage,United States,F
John Mars,31700,23000,False,86,Food & Beverage,United States,M
Alain Wertheimer,31200,13000,False,73,Fashion & Retail,United States,M
Gerard Wertheimer,31200,13000,False,71,Fashion & Retail,United States,M
Gina Rinehart,30200,17000,False,68,Metals & Mining,Australia,F
Shiv Nadar,28700,14000,True,76,Technology,India,M
He Xiangjian,28300,20000,True,79,Manufacturing,China,M
Dietrich Mateschitz,27400,23000,True,77,Food & Beverage,Austria,M
Ken Griffin,27200,9000,True,53,Finance & Investments,United States,M
Susanne Klatten,24300,25000,False,59,Automotive,Germany,F
Cyrus Poonawalla,24300,9000,False,80,Healthcare,India,M
Wang Wei,24300,18000,True,51,Service,China,M
Qin Yinglin,24100,3000,True,56,Food & Beverage,China,M
Takemitsu Takizaki,23900,17000,True,76,Manufacturing,Japan,M
Li Shufu,23700,15000,True,58,Automotive,China,M
Emmanuel Besnier,23500,14000,False,51,Food & Beverage,France,M
R. Budi Hartono,23200,17000,False,81,Finance & Investments,Indonesia,M
Leonard Lauder,23100,12000,False,89,Fashion & Retail,United States,M
Jack Ma,22800,39000,True,57,Technology,China,M
Michael Hartono,22300,16000,False,82,Manufacturing,Indonesia,M
Eric Schmidt,22100,13000,True,66,Technology,United States,M
Ray Dalio,22000,17000,True,72,Finance & Investments,United States,M
Daniel Gilbert,22000,6000,True,60,Finance & Investments,United States,M
Masayoshi Son,21300,22000,True,64,Telecom,Japan,M
Abigail Johnson,21200,15000,False,60,Finance & Investments,United States,F
Stefan Quandt,20700,22000,False,55,Automotive,Germany,M
Huang Shilin,20300,1000,True,55,Automotive,China,M
Thomas Peterffy,20100,20000,True,77,Finance & Investments,United States,M
Radhakishan Damani,20000,10000,True,67,Fashion & Retail,India,M
Pang Kang,19600,6000,True,66,Food & Beverage,China,M
Wang Chuanfu,19500,5000,True,56,Automotive,China,M
Vladimir Lisin,18400,19000,True,65,Metals & Mining,Russia,M
Lakshmi Mittal,17900,18000,False,71,Metals & Mining,United Kingdom,M
Andrew Forrest,17800,4000,True,60,Metals & Mining,Australia,M
Wang Wenyin,17700,11000,True,54,Metals & Mining,China,M
Li Xiting,17600,2000,True,71,Healthcare,China,M
Stefan Persson,17600,16000,False,74,Fashion & Retail,Sweden,M
Steve Cohen,17400,14000,True,65,Finance & Investments,United States,M
Vladimir Potanin,17300,15000,True,61,Metals & Mining,Russia,M
Sun Piaoyang,17100,7000,True,63,Healthcare,China,M
Peter Woo,17000,12000,False,75,Real Estate,Hong Kong,M
David Tepper,16700,11000,True,64,Finance & Investments,United States,M
