personname,finalworth_2022,finalworth_2018,selfmade
Elon Musk,219000,19000,True
Jeff Bezos,171000,112000,True
Bill Gates,129000,90000,True
Warren Buffett,118000,84000,True
Larry Page,111000,48000,True
Sergey Brin,107000,47000,True
Larry Ellison,106000,58000,True
Steve Ballmer,91400,38000,True
Mukesh Ambani,90700,40000,False
Michael Bloomberg,82000,50000,True
Mark Zuckerberg,67300,71000,True
Jim Walton,66200,46000,False
Alice Walton,65300,46000,False
Charles Koch,60000,60000,False
Amancio Ortega,59600,70000,True
Michael Dell,55100,22000,True
Zhang Yiming,50000,4000,True
Dieter Schwarz,47100,20000,False
Robin Zeng,44800,1000,True
Klaus-Michael Kuehne,37300,15000,False
Ma Huateng,37200,45000,True
Giovanni Ferrero,36200,23000,False
Li Ka-shing,34800,34000,True
Stephen Schwarzman,34800,12000,True
Lee Shau Kee,32600,30000,True
Len Blavatnik,32500,20000,True
Jacqueline Mars,31700,23000,False
John Mars,31700,23000,False
Alain Wertheimer,31200,13000,False
Gerard Wertheimer,31200,13000,False
Gina Rinehart,30200,17000,False
Shiv Nadar,28700,14000,True
He Xiangjian,28300,20000,True
Dietrich Mateschitz,27400,23000,True
Ken Griffin,27200,9000,True
Susanne Klatten,24300,25000,False
Cyrus Poonawalla,24300,9000,False
Wang Wei,24300,18000,True
Qin Yinglin,24100,3000,True
Takemitsu Takizaki,23900,17000,True
Li Shufu,23700,15000,True
Emmanuel Besnier,23500,14000,False
R. Budi Hartono,23200,17000,False
Leonard Lauder,23100,12000,False
Jack Ma,22800,39000,True
Michael Hartono,22300,16000,False
Eric Schmidt,22100,13000,True
Ray Dalio,22000,17000,True
Daniel Gilbert,22000,6000,True
Masayoshi Son,21300,22000,True
Abigail Johnson,21200,15000,False
Stefan Quandt,20700,22000,False
Huang Shilin,20300,1000,True
Thomas Peterffy,20100,20000,True
Radhakishan Damani,20000,10000,True
Pang Kang,19600,6000,True
Wang Chuanfu,19500,5000,True
Vladimir Lisin,18400,19000,True
Lakshmi Mittal,17900,18000,False
Andrew Forrest,17800,4000,True
Wang Wenyin,17700,11000,True
Li Xiting,17600,2000,True
Stefan Persson,17600,16000,False
Steve Cohen,17400,14000,True
Vladimir Potanin,17300,15000,True
Sun Piaoyang,17100,7000,True
Peter Woo,17000,12000,False
David Tepper,16700,11000,True
"John Menard, Jr.",16600,11000,True
Kumar Birla,16500,11000,False
Carl Icahn,16500,16000,True
Lukas Walton,16500,15000,False
James Ratcliffe,16300,16000,True
Donald Bren,16200,16000,True
Xu Hang,16100,1000,True
Lu Xiangyang,15700,3000,True
Dilip Shanghvi,15600,12000,True
Eyal Ofer,15400,9000,False
Mike Cannon-Brookes,15300,3000,True
Wu Yajun,15300,7000,True
Michael Platt,15200,6000,True
Pavel Durov,15100,1000,True
Scott Farquhar,15100,3000,True
Pallonji Mistry,15000,17000,False
Dang Yanbao,14800,1000,True
Robert Pera,14600,4000,True
Donald Newhouse,14400,12000,False
Uday Kotak,14300,10000,True
Aliko Dangote,14000,14000,True
Leonid Mikhelson,14000,18000,True
Liu Hanyuan,13650,1000,True
Joseph Lau,13600,16000,True
Anders Holch Povlsen,13600,7000,False
Dhanin Chearavanont,13500,14000,False
Liu Yongxing,13200,6000,True
Alexey Mordashov,13200,18000,True
Wang Jianlin,13200,30000,True
David Duffield,12900,7000,True
Harry Triguboff,12800,9000,True
Zhang Zhidong,12800,15000,True
Chen Bang,12700,3000,True
John Doerr,12700,7000,True
Jim Pattison,12200,6000,True
Charles Schwab,12200,9000,True
Goh Cheng Liang,12100,7000,True
Charoen Sirivadhanabhakdi,12000,17000,True
John Fredriksen,11900,7000,True
Mikhail Fridman,11800,15000,True
Sarath Ratanavadi,11800,3000,True
Robert Kuok,11700,14000,True
Lei Jun,11700,12000,True
Lui Che Woo,11600,20000,True
Brian Chesky,11500,3000,True
Israel Englander,11500,5000,True
Dustin Moskovitz,11500,14000,True
Alisher Usmanov,11500,12000,True
Anthony Pratt,11400,5000,False
Pierre Omidyar,11300,10000,True
Gennady Timchenko,11300,16000,True
Carl Cook,11100,8000,False
Andrey Melnichenko,11100,15000,True
Philip Anschutz,10900,13000,False
David Cheriton,10900,6000,True
Alexander Otto,10900,11000,False
Diane Hendricks,10700,5000,True
Stanley Kroenke,10700,8000,True
Jerry Jones,10600,5000,True
Quek Leng Chan,10600,7000,False
Eduardo Saverin,10600,10000,True
Vagit Alekperov,10500,16000,True
Idan Ofer,10500,3000,False
"Chase Coleman, III.",10300,2000,True
Stefano Pessina,10300,11000,False
Mikhail Prokhorov,10300,9000,True
Marcel Herrmann Telles,10300,14000,True
Leon Black,10000,6000,True
Joe Gebbia,10000,3000,True
David Geffen,10000,8000,True
Andrew Beal,9900,11000,True
George Kaiser,9900,7000,False
Luis Carlos Sarmiento,9900,12000,True
Jan Koum,9800,9000,True
Azim Premji,9800,18000,False
Finn Rausing,9800,6000,False
Jorn Rausing,9800,7000,False
Kirsten Rausing,9800,6000,False
Wang Laisheng,9800,2000,True
John Collison,9500,1000,True
Patrick Collison,9500,1000,True
Gordon Moore,9500,8000,True
Wang Laichun,9500,2000,True
Graeme Hart,9400,10000,True
Nathan Blecharczyk,9200,3000,True
James Dyson,9200,5000,True
Ivan Glasenberg,9100,6000,True
Jay Y. Lee,9100,7000,False
Ann Walton Kroenke,9000,6000,False
Friedhelm Loh,8900,3000,False
Xavier Niel,8900,8000,True
Michael Otto,8900,11000,False
Hui Ka Yan,8800,30000,True
Pauline MacMillan Keinath,8800,7000,False
Li Ge,8800,2000,True
Kushal Pal Singh,8800,6000,False
Zong Qinghou,8800,9000,True
Cai Kui,8700,4000,True
Charles Ergen,8700,13000,True
Bernard Marcus,8700,5000,True
"Ernest Garcia, II.",8600,2000,True
George Soros,8600,8000,True
Ernesto Bertarelli,8500,8000,False
Tamara Gustavson,8500,4000,False
Steven Rales,8400,5000,True
Joseph Tsai,8400,9000,True
Carl Bennet,8300,4000,True
Robert Kraft,8300,6000,True
Chairul Tanjung,8300,3000,True
Manuel Villar,8300,3000,True
Jean-Michel Besnier,8200,5000,False
Marie Besnier Beauvalot,8200,5000,False
Gustaf Douglas,8200,3000,True
Kjeld Kirk Kristiansen,8200,5000,False
Sofie Kirk Kristiansen,8200,5000,False
Stephen Ross,8200,7000,True
Marc Benioff,8100,4000,True
Francis Choi,8100,6000,True
Nancy Walton Laurie,8100,5000,False
Georg Schaeffler,8100,25000,False
Yao Liangsong,8100,5000,True
George Roberts,8000,5000,True
Michael Rubin,8000,3000,True
Patrick Ryan,8000,2000,True
Christopher Hohn,7900,3000,True
Marijke Mars,7900,5000,False
Pamela Mars,7900,5000,False
Valerie Mars,7900,5000,False
Victoria Mars,7900,5000,False
Georg Stumpf,7900,2000,True
Christy Walton,7900,7000,False
Giorgio Armani,7800,8000,True
Jim Kennedy,7800,13000,False
German Khan,7800,9000,True
Liang Wengen,7800,4000,True
Blair Parry-Okeden,7800,13000,False
Ding Shijia,7700,2000,True
Karel Komarek,7700,3000,True
Henry Kravis,7700,5000,True
Frederik Paulsen,7700,7000,False
Nassef Sawiris,7700,6000,False
Xu Shihui,7700,11000,True
Rahel Blocher,7600,5000,False
Shahid Khan,7600,7000,True
Magdalena Martullo-Blocher,7600,5000,False
Jeffery Hildebrand,7500,3000,True
Michael Kim,7500,1000,True
Richard Kinder,7500,6000,True
David Shaw,7500,6000,True
John Malone,7400,8000,True
Mike Adenuga,7300,5000,True
"Paul Tudor Jones, II.",7300,4000,True
Yuri Milner,7300,3000,True
Henry Samueli,7300,3000,True
Patrick Soon-Shiong,7300,7000,True
Michael Kadoorie,7200,7000,False
Niels Peter Louis-Hansen,7200,4000,False
Reinhold Schmieding,7200,4000,True
Wee Cho Yaw,7200,6000,False
Arthur Blank,7100,4000,True
J. Christopher Reyes,7100,4000,True
Jude Reyes,7100,4000,True
Judy Faulkner,7000,3000,True
Robin Li,7000,12000,True
Roman Abramovich,6900,10000,True
Micky Arison,6900,9000,False
Terry Gou,6900,8000,True
Jiang Bin,6900,3000,True
Vinod Khosla,6900,2000,True
Ralph Lauren,6900,6000,True
Douglas Leone,6900,3000,True
Horst Julius Pudwill,6900,2000,True
Harry Stine,6900,3000,True
Dennis Washington,6900,5000,True
Stanley Druckenmiller,6800,4000,True
Jonathan Gray,6800,2000,True
Frank Lowy,6800,5000,True
Ronda Stryker,6800,5000,False
Benu Gopal Bangur,6700,6000,False
James Goodnight,6700,9000,True
Dannine Avara,6600,5000,False
Patrick Drahi,6600,7000,True
Scott Duncan,6600,5000,False
Milane Frantz,6600,5000,False
Andreas Halvorsen,6600,3000,True
Law Kar Po,6600,5000,False
Nicolas Puech,6600,2000,False
Viktor Rashnikov,6600,9000,True
Dmitry Rybolovlev,6600,6000,True
Chen Jianhua,6500,1000,True
John Grayken,6500,6000,True
Ray Lee Hunt,6500,4000,False
"Henry Nicholas, III.",6500,3000,True
John Overdeck,6500,4000,True
David Siegel,6500,4000,True
Juergen Blickle,6400,4000,False
Cheng Xue,6400,2000,True
"Edward Johnson, IV.",6300,3000,False
Sri Prakash Lohia,6300,7000,False
Bobby Murphy,6300,4000,True
Wu Jianshu,6300,1000,True
Bruce Kovner,6200,5000,True
Pham Nhat Vuong,6200,4000,True
Michal Solowow,6200,3000,True
Leonard Stern,6200,4000,False
Rocco Commisso,6100,4000,True
Jack Dorsey,6100,3000,True
Lin Li,6100,2000,True
George Lucas,6100,5000,True
Evan Spiegel,6100,4000,True
Zhao Yan,6100,1000,True
Tom Gores,6000,3000,True
Alexei Kuzmichev,6000,7000,True
Fredrik Lundberg,6000,4000,False
John Morris,6000,4000,True
Stephen Bisciotti,5900,4000,True
Barry Lam,5900,3000,True
Michael Moritz,5900,4000,True
Teh Hong Piow,5900,6000,True
Andre Esteves,5800,2000,True
Joshua Harris,5800,3000,True
