Rank,Name,Age,Source,Industry,Gender,Continent,Country,Headquarters,State,Net Worth,Title
1.0,Jeff Bezos,54.0,Amazon,Technology,Male,North America,United States,WA,Washington,112.0,"CEO and Founder, Amazon.com"
2.0,Bill Gates,62.0,Microsoft,Technology,Male,North America,United States,WA,Washington,90.0,"Cofounder, Bill & Melinda Gates Foundation"
3.0,Warren Buffett,87.0,Berkshire Hathaway,Finance and Investments,Male,North America,United States,NE,Nebraska,84.0,"CEO, Berkshire Hathaway"
4.0,Bernard Arnault,69.0,LVMH,Fashion & Retail,Male,Europe,France,,,72.0,"Chairman and CEO, LVMH Moet Hennessy Louis Vuitton"
5.0,Mark Zuckerberg,33.0,Facebook,Technology,Male,North America,United States,CA,California,71.0,"Cofounder, Chairman and CEO, Facebook"
6.0,Amancio Ortega,81.0,Zara,Fashion & Retail,Male,Europe,Spain,,,70.0,
7.0,Carlos Slim Helu,78.0,telecom,Telecom,Male,North America,Mexico,,,67.1,"Honorary Chairman, América Móvil"
8.0,Charles Koch,82.0,Koch Industries,Diversified,Male,North America,United States,KS,Kansas,60.0,"CEO, Koch Industries"
8.0,David Koch,77.0,Koch Industries,Diversified,Male,North America,United States,NY,New York,60.0,"Executive Vice President, Koch Industries"
10.0,Larry Ellison,73.0,software,Technology,Male,North America,United States,CA,California,58.5,"CTO and Founder, Oracle"
11.0,Michael Bloomberg,76.0,Bloomberg LP,Media & Entertainment,Male,North America,United States,NY,New York,50.0,"CEO, Bloomberg"
12.0,Larry Page,44.0,Google,Technology,Male,North America,United States,CA,California,48.8,"CEO, Alphabet"
13.0,Sergey Brin,44.0,Google,Technology,Male,North America,United States,CA,California,47.5,"President, Google"
14.0,Jim Walton,69.0,Walmart,Fashion & Retail,Male,North America,United States,AR,Arkansas,46.4,"Chairman and CEO, Arvest Bank Group, Inc."
15.0,S. Robson Walton,73.0,Walmart,Fashion & Retail,Male,North America,United States,AR,Arkansas,46.2,"Director, Wal-Mart Stores"
